RelativePath,AuditStatus,HardConstraintsPassed,MaxPowerResidualKW,MaxStorageResidualKG,MaxStorageLowerViolationKG,MaxStorageUpperViolationKG,MaxHBLowerViolation,MaxHBUpperViolation,MaxHBRampViolation,BuySellOverlapKWh,CO2MarginKG,TerminalBacklogKG,MaxBacklogKG
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l3_soft_hb020_gate_2022_latest.mat,audited,0,1.34969013743103e-09,3.1377567211166e-11,1.81898940354586e-12,0,0,0,4.85167461761193e-14,0,-3247.48923863471,88744.6648784247,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp025_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.31965566147119e-11,6.3664629124105e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,-7.45058059692383e-09,22492.9533929733,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp025_hb005_gate_2022_latest.mat,audited,1,8.51287040859461e-10,4.13820089306682e-11,3.18323145620525e-12,0,0,0,3.05311331771918e-15,0,-2.60770320892334e-08,48274.3292246701,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp025_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.45563569478691e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,1.85962356624714e-15,0,-3779.7228384614,65153.4801451317,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp025_hb020_gate_2022_latest.mat,audited,0,1.11685949377716e-09,2.59205990005285e-11,6.3664629124105e-12,0,0,0,4.85167461761193e-14,0,-3823.14962322265,103153.960073389,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp050_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.31965566147119e-11,8.64019966684282e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,0,14242.8677248435,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp050_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,4.13820089306682e-11,0,0,0,0,3.05311331771918e-15,0,-2350.67249652743,40680.829406126,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp050_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.45563569478691e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,1.85962356624714e-15,0,-3779.72283848748,57306.9703266478,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_cp050_hb020_gate_2022_latest.mat,audited,0,1.11685949377716e-09,2.59205990005285e-11,5.91171556152403e-12,0,0,0,4.85167461761193e-14,0,-7035.82679028437,92104.8437822488,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_gate_2022_latest.mat,audited,1,6.54836185276508e-10,3.31965566147119e-11,1.18234311230481e-11,1.81898940354586e-12,0,0,3.21964677141295e-15,0,1.11758708953857e-08,23839.4918848483,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_hb005_gate_2022_latest.mat,audited,1,5.82076609134674e-10,4.13820089306682e-11,8.18545231595635e-12,0,0,0,3.05311331771918e-15,0,-4.4703483581543e-08,49113.1321785016,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_hb010_gate_2022_latest.mat,audited,1,5.71162672713399e-10,2.45563569478691e-11,1.2732925824821e-11,1.81898940354586e-12,0,0,1.85962356624714e-15,0,-1.86264514923096e-08,66694.0056594112,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l1_soft_hb020_gate_2022_latest.mat,audited,0,1.11685949377716e-09,2.59205990005285e-11,1.81898940354586e-12,0,0,0,4.85167461761193e-14,0,-3764.535024032,102581.526084896,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l2_soft_cp025_gate_2022_latest.mat,audited,1,8.58562998473644e-10,4.13820089306682e-11,8.64019966684282e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,-1.11758708953857e-08,15223.2369416786,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q075_l2_soft_cp025_hb005_gate_2022_latest.mat,audited,1,8.51287040859461e-10,2.27373675443232e-11,6.3664629124105e-12,0,0,0,3.05311331771918e-15,0,-2.60770320892334e-08,43341.4731395424,1457974.65732877
